coin-monero                             \ufd09
coin-pound                              \ufd0a
coin-rupee                              \ufd0b
coin-taka                               \ufd0c
coin-yen                                \ufd0e
coin-yuan                               \ufd0f
columns-1                               \u10188
columns-2                               \u10187
columns-3                               \u10186
compass                                 \ufd10
cone                                    \ufe58
cone-2                                  \ufe59
confetti                                \u10185
container                               \u10184
contrast                                \ufe56 \ufe82
contrast-2                              \ufe57
cookie                                  \ufe54
cookie-man                              \ufe55
copy                                    \u101e2
copy-check                              \ufe53
copy-minus                              \ufe52
copy-plus                               \ufe51
copy-x                                  \ufe50
copyleft                                \uf73b
copyright                               \uf73c
credit-card                             \ufd11
crop-1-1                                \ufe4f
crop-16-9                               \ufe4e
crop-3-2                                \ufe4d
crop-5-4                                \ufe4c
crop-landscape                          \ufe4a \ufe4b
crop-portrait                           \ufe49
cross                                   \uf675
crown                                   \u101c4
current-location                        \u10125
dashboard                               \u10019
database                                \u101e1
device-cctv                             \u1004b
device-desktop                          \u1004a
device-floppy                           \u101e0
device-gamepad                          \u1019c
device-gamepad-2                        \u101df
device-gamepad-3                        \u10049
device-heart-monitor                    \ufa38
device-imac                             \u10048
device-ipad                             \u10047
device-mobile                           \ufa39
device-remote                           \u10046
device-speaker                          \u10045
device-tablet                           \ufa3a
device-tv                               \u10043
device-tv-old                           \u10044
device-unknown                          \u10018
device-usb                              \u10042
device-vision-pro                       \u10041
device-watch                            \u10040
dialpad                                 \ufa3b
diamond                                 \uf73d
diamonds                                \uf676
dice-1                                  \uf73e
dice-2                                  \uf73f
dice-3                                  \uf740
dice-4                                  \uf741 \uf744
dice-5                                  \uf742
dice-6                                  \uf743
direction-arrows                        \u100ca
direction-sign                          \uf745
directions                              \u1003f
disc                                    \u1003e
discount                                \u1003d
dots                                    \u101dd
dots-vertical                           \u101de
download                                \u101dc
drop-circle                             \u10137
droplet                                 \uee80
droplet-half                            \uf6c5
droplet-half-2                          \ufb6c
droplets                                \u100c9
dual-screen                             \u10136
dumpling                                \u10135
ease-in-control-point                   \u10174
ease-in-out-control-points              \u10173
ease-out-control-point                  \u10172
edit                                    \u101db
egg                                     \uf678
egg-cracked                             \u10012
egg-fried                               \u10134
elevator                                \u1003c
engine                                  \u100fc
escalator                               \u10131
escalator-down                          \u10133
escalator-up                            \u10132
exchange                                \u10130
exclamation-circle                      \uff62
explicit                                \u1012f
exposure                                \u10124
external-link                           \u101da
eye                                     \uf679
eye-table                               \u10123
eyeglass                                \u100c8
eyeglass-2                              \u10122
face-mask                               \u10121
favicon                                 \u10071
feather                                 \u10011
fence                                   \u10120
ferry                                   \u100fb
fidget-spinner                          \u1011f
file                                    \uf747
file-analytics                          \u10171
file-check                              \u1012e
file-code                               \u10170
file-code-2                             \u1012d
file-cv                                 \u1012c
file-delta                              \u1012b
file-description                        \u1011e
file-diff                               \u1016f
file-digit                              \u1011d
file-dollar                             \u1019b
file-dots                               \u1016e
file-download                           \u1012a
file-euro                               \u1019a
file-function                           \u1016d
file-horizontal                         \u1011c
file-info                               \u1016c
file-invoice                            \u1011b
file-lambda                             \u10129
file-minus                              \u1011a
file-music                              \u10199
file-neutral                            \u10119
file-pencil                             \u10198
file-percent                            \u10128
file-phone                              \u10127
file-power                              \u10118
file-rss                                \u10126
file-sad                                \u10117
file-scissors                           \u10197
file-settings                           \u10196
file-signal                             \u10195
file-smile                              \u10116
file-star                               \u10115
file-text                               \u10114
file-time                               \u10194
file-typography                         \u1016b
file-unknown                            \u10193
file-upload                             \u10192
file-vector                             \u10191
file-x                                  \uf748
files                                   \u10190
filter                                  \ufc27
filters                                 \u100c7
fish-bone                               \u1010b
flag                                    \uf67a
flag-2                                  \uf707
flag-3                                  \uf708
flame                                   \u100c6
flare                                   \u100c5
flask                                   \ufd13
flask-2                                 \ufd12
flower                                  \u10010
folder                                  \uf749
folder-open                             \u101c3
folders                                 \u100c4
forbid                                  \ufc29
forbid-2                                \ufc28
fountain                                \ufc2a
function                                \ufc2b
garden-cart                             \u100c3
gas-station                             \u100fa
gauge                                   \ufc2c
ghost                                   \uf74b
ghost-2                                 \uf74a
ghost-3                                 \u100a4
gift                                    \ufd14
gift-card                               \ufc2d
glass                                   \u1000f
glass-full                              \ufc2e
globe                                   \ufc2f
golf                                    \u100a3
gps                                     \ufe48
graph                                   \ufd15
grid-pattern                            \u100c2
guitar-pick                             \uf67b
hanger-2                                \uff61
headphones                              \ufa3c
headset                                 \u101d9
heart                                   \uf67c
heart-broken                            \u1016a
helicopter                              \u100f9
helicopter-landing                      \u100c1
help                                    \u101d8
help-circle                             \ufa3d
help-hexagon                            \ufa3e
help-octagon                            \ufa3f
help-square                             \ufa40
help-square-rounded                     \ufa41
help-triangle                           \ufa42
hexagon                                 \uf67d
hexagon-letter-a                        \ufe47
hexagon-letter-b                        \ufe46
hexagon-letter-c                        \ufe45
hexagon-letter-d                        \ufe44
hexagon-letter-e                        \ufe43
hexagon-letter-f                        \ufe42
hexagon-letter-g                        \ufe41
hexagon-letter-h                        \ufe40
hexagon-letter-i                        \ufe3f
hexagon-letter-j                        \ufe3e
hexagon-letter-k                        \ufe3d
hexagon-letter-l                        \ufe3c
hexagon-letter-m                        \ufe3b
hexagon-letter-n                        \ufe3a
hexagon-letter-o                        \ufe39
hexagon-letter-p                        \ufe38
hexagon-letter-q                        \ufe37
hexagon-letter-r                        \ufe36
hexagon-letter-s                        \ufe35
hexagon-letter-t                        \ufe34
hexagon-letter-u                        \ufe33
hexagon-letter-v                        \ufe32
hexagon-letter-w                        \ufe31
hexagon-letter-x                        \ufe30
hexagon-letter-y                        \ufe2f
hexagon-letter-z                        \ufe2e
hexagon-minus                           \ufe2d
hexagon-number-0                        \uf74c
hexagon-number-1                        \uf74d
hexagon-number-2                        \uf74e
hexagon-number-3                        \uf74f
hexagon-number-4                        \uf750
hexagon-number-5                        \uf751
hexagon-number-6                        \uf752
hexagon-number-7                        \uf753
hexagon-number-8                        \uf754
hexagon-number-9                        \uf755
hexagon-plus                            \ufe2c
home                                    \ufe2b
home-2                                  \u101d7
hospital-circle                         \ufed2
hourglass                               \uf756
icons                                   \u10070
id                                      \u101d6
info-circle                             \uf6d8
info-hexagon                            \ufa43
info-octagon                            \ufa44
info-square                             \ufa45
info-square-rounded                     \uf6d9
info-triangle                           \ufa46
inner-shadow-bottom                     \uf757
inner-shadow-bottom-left                \uf758
inner-shadow-bottom-right               \uf759
inner-shadow-left                       \uf75a
inner-shadow-right                      \uf75b
inner-shadow-top                        \uf75c
inner-shadow-top-left                   \uf75d
inner-shadow-top-right                  \uf75e
ironing                                 \ufe2a
ironing-1                               \u1006f
ironing-2                               \u1006e
ironing-3                               \u1006d
ironing-steam                           \u1006c
jetpack                                 \ufe29
jewish-star                             \uf67e
key                                     \ufe28
keyboard                                \u100a2
keyframe                                \ufc33
keyframe-align-center                   \ufc30
keyframe-align-horizontal               \ufc31
keyframe-align-vertical                 \ufc32
keyframes                               \ufc34
label                                   \uff41
label-important                         \uff60
lasso-polygon                           \uff5f
laurel-wreath                           \u100c0
laurel-wreath-1                         \u10169
laurel-wreath-2                         \u10168
laurel-wreath-3                         \u10167
layout                                  \ufe17
layout-2                                \ufe27
layout-align-bottom                     \ufe26
layout-align-center                     \ufe25
layout-align-left                       \ufe24
layout-align-middle                     \ufe23
layout-align-right                      \ufe22
layout-align-top                        \ufe21
layout-board                            \u10182
layout-board-split                      \u10183
layout-bottombar                        \ufc37
layout-bottombar-collapse               \ufc35
layout-bottombar-expand                 \ufc36
layout-cards                            \ufe20
layout-dashboard                        \ufe1f
layout-distribute-horizontal            \ufe1e
layout-distribute-vertical              \ufe1d
layout-grid                             \ufe1c
layout-kanban                           \ufe1b
layout-list                             \ufe1a
layout-navbar                           \ufc3a
layout-navbar-collapse                  \ufc38
layout-navbar-expand                    \ufc39
layout-sidebar                          \ufe18
layout-sidebar-left-collapse            \ufc3b
layout-sidebar-left-expand              \ufc3c
layout-sidebar-right                    \ufe19
layout-sidebar-right-collapse           \ufc3d
layout-sidebar-right-expand             \ufc3e
leaf                                    \u101c2
lego                                    \ufe16
lemon-2                                 \u100bf
library                                 \u10180
library-plus                            \u10181
lifebuoy                                \u100be
link                                    \u101d5
list                                    \u101d2
list-check                              \u101d4
list-details                            \u101d3
live-photo                              \ufed1
live-view                               \u100a1
location                                \uf67f
lock                                    \ufe15
lock-square-rounded                     \uf6da
lungs                                   \ufe14
macro                                   \ufe13
magnet                                  \ufe12
mail                                    \ufa47
mail-opened                             \ufa48
man                                     \ufe11
manual-gearbox                          \ufe10
map-pin                                 \uf680
medical-cross                           \uf681
meeple                                  \u100a0
melon                                   \u1000e
menu-2                                  \u101d1
message                                 \ufecd
message-2                               \u1009f
message-chatbot                         \ufed0
message-circle                          \ufecf
